county,fiscal_year,population,total_revenue,total_expenditure,net_total,revenue_per_capita,expenditure_per_capita
Alameda,2003,1496218,1818700520,1836243665,-17543145,1215.53,1227.26
Alameda,2004,1498020,1636539472,1649739744,-13200272,1092.47,1101.28
Alameda,2005,1507500,1877145984,1693220824,183925160,1245.2,1123.2
Alameda,2006,1510303,1962610109,1789076569,173533540,1299.48,1184.58
Alameda,2007,1526148,1980472861,1840512393,139960468,1297.69,1205.99
Alameda,2008,1543000,2062757425,1944733831,118023594,1336.85,1260.36
Alameda,2009,1556657,2027021278,2031238550,-4217272,1302.16,1304.87
Alameda,2010,1574857,2049650443,2083268145,-33617702,1301.48,1322.83
Alameda,2011,1521157,2201322275,2186575262,14747013,1447.14,1437.44
Alameda,2012,1532137,2317607829,2221267982,96339847,1512.66,1449.78
Alameda,2013,1548681,2366341383,2295382137,70959246,1527.97,1482.15
Alameda,2014,1573254,2448572609,2405508090,43064519,1556.37,1529.0
Alameda,2015,1594569,2459908014,2462509900,-2601886,1542.68,1544.31
Alameda,2016,1627865,2638195535,2466628582,171566953,1620.65,1515.25
Alameda,2017,1645359,2949248612,2834852878,114395734,1792.47,1722.94
Alameda,2018,1660202,3057808028,2937009130,120798898,1841.83,1769.07
Alameda,2019,1669301,3609996506,3339008906,270987600,2162.58,2000.24
Alameda,2020,1670834,3752904942,3554360577,198544365,2246.13,2127.3
Alameda,2021,1662370,4251409856,4788857663,-537447807,2557.44,2880.74
Alameda,2022,1651979,4151361197,3993773203,157587994,2512.96,2417.57
Alameda,2023,1636194,4412737665,4037262848,375474817,2696.95,2467.47
Alameda,2024,1641869,4742901769,4244700272,498201497,2888.72,2585.29
Alpine,2003,1208,9466804,10484122,-1017318,7836.76,8678.91
Alpine,2004,1275,12227703,11786381,441322,9590.36,9244.22
Alpine,2005,1262,10801917,11971845,-1169928,8559.36,9486.41
Alpine,2006,1241,12567537,12990891,-423354,10126.94,10468.08
Alpine,2007,1261,14582555,15828512,-1245957,11564.28,12552.35
Alpine,2008,1222,15375601,16252352,-876751,12582.32,13299.8
Alpine,2009,1201,16151545,15928407,223138,13448.41,13262.62
Alpine,2010,1189,17447487,14578603,2868884,14674.08,12261.23
Alpine,2011,1176,17643923,14988662,2655261,15003.34,12745.46
Alpine,2012,1097,17958213,18559365,-601152,16370.29,16918.29
Alpine,2013,1087,17486688,15857853,1628835,16087.11,14588.64
Alpine,2014,1079,16048039,18593470,-2545431,14873.07,17232.13
Alpine,2015,1121,16682857,14479421,2203436,14882.12,12916.52
Alpine,2016,1166,17024071,14801625,2222446,14600.4,12694.36
Alpine,2017,1151,18935581,16806357,2129224,16451.42,14601.53
Alpine,2018,1154,20470009,18038469,2431540,17738.31,15631.26
Alpine,2019,1162,21085207,21924691,-839484,18145.62,18868.06
Alpine,2020,1142,22732682,25003688,-2271006,19906.03,21894.65
Alpine,2021,1195,20139080,20302313,-163233,16852.79,16989.38
Alpine,2022,1200,22868255,21822941,1045314,19056.88,18185.78
Alpine,2023,1184,29060590,27412529,1648061,24544.42,23152.47
Alpine,2024,1179,30191475,27326942,2864533,25607.7,23178.07
Amador,2003,36523,40731328,38124410,2606918,1115.22,1043.85
Amador,2004,36834,41442452,45919323,-4476871,1125.11,1246.66
Amador,2005,37574,47894068,51370044,-3475976,1274.66,1367.17
Amador,2006,38133,64674346,65969657,-1295311,1696.02,1729.99
Amador,2007,38435,63557656,69470969,-5913313,1653.64,1807.49
Amador,2008,37943,70732123,65445833,5286290,1864.17,1724.85
Amador,2009,38080,60749096,61467665,-718569,1595.3,1614.17
Amador,2010,38022,58143071,61056979,-2913908,1529.2,1605.83
Amador,2011,37911,57227655,58227532,-999877,1509.53,1535.9
Amador,2012,37120,57723779,59289357,-1565578,1555.06,1597.23
Amador,2013,36741,57628482,59949058,-2320576,1568.51,1631.67
Amador,2014,36151,63278973,62404951,874022,1750.41,1726.23
Amador,2015,36312,69467537,65523618,3943919,1913.07,1804.46
Amador,2016,37707,67084790,67509530,-424740,1779.11,1790.37
Amador,2017,38382,73472682,75321932,-1849250,1914.25,1962.43
Amador,2018,38094,77617058,75455001,2162057,2037.51,1980.76
Amador,2019,38294,91942520,82387142,9555378,2400.96,2151.44
Amador,2020,37676,98957071,93869535,5087536,2626.53,2491.49
Amador,2021,40287,114217399,99390041,14827358,2835.09,2467.05
Amador,2022,40297,119068814,114617123,4451691,2954.78,2844.31
Amador,2023,39837,129949175,112703851,17245324,3262.02,2829.12
Amador,2024,39611,144198400,125814417,18383983,3640.36,3176.25
Butte,2003,210367,279156583,281495381,-2338798,1327.0,1338.12
Butte,2004,212745,328484057,286921500,41562557,1544.03,1348.66
Butte,2005,214119,321627242,297423988,24203254,1502.1,1389.06
Butte,2006,217209,321824838,313286152,8538686,1481.64,1442.33
Butte,2007,218069,334491339,334398953,92386,1533.88,1533.45
Butte,2008,220407,336162674,337211352,-1048678,1525.19,1529.95
Butte,2009,220748,351519630,351885090,-365460,1592.4,1594.06
Butte,2010,221768,354192869,345569828,8623041,1597.13,1558.25
Butte,2011,221388,349752594,344618539,5134055,1579.82,1556.63
Butte,2012,221273,351293697,351797294,-503597,1587.6,1589.88
Butte,2013,221485,347423855,347665055,-241200,1568.61,1569.7
Butte,2014,222316,339367456,329455634,9911822,1526.51,1481.92
Butte,2015,224323,364962980,346021855,18941125,1626.95,1542.52
Butte,2016,224601,369579116,359472359,10106757,1645.49,1600.49
Butte,2017,226404,405180116,402575447,2604669,1789.63,1778.13
Butte,2018,227621,423294813,419566673,3728140,1859.65,1843.27
Butte,2019,226466,462029993,449421432,12608561,2040.17,1984.5
Butte,2020,210291,716123502,458426158,257697344,3405.39,2179.96
Butte,2021,206640,528622640,511083710,17538930,2558.18,2473.3
Butte,2022,201608,524956591,518636375,6320216,2603.85,2572.5
Butte,2023,205592,566461937,532133719,34328218,2755.27,2588.3
Butte,2024,205928,657810470,604671332,53139138,3194.37,2936.32
Calaveras,2003,42458,53240047,49224324,4015723,1253.95,1159.37
Calaveras,2004,43339,53445358,53644839,-199481,1233.19,1237.8
Calaveras,2005,44796,62579929,59935893,2644036,1397.0,1337.97
Calaveras,2006,45711,72584605,72719484,-134879,1587.9,1590.85
Calaveras,2007,46028,72812583,72491904,320679,1581.92,1574.95
Calaveras,2008,46127,80353776,79546543,807233,1742.01,1724.51
Calaveras,2009,45987,108145525,78327109,29818416,2351.65,1703.24
Calaveras,2010,45870,71786719,70766481,1020238,1565.0,1542.76
Calaveras,2011,45693,73727362,72979521,747841,1613.54,1597.17
Calaveras,2012,44840,86054083,83653260,2400823,1919.14,1865.59
Calaveras,2013,44932,90279898,97959949,-7680051,2009.26,2180.18
Calaveras,2014,44650,77973970,83653600,-5679630,1746.34,1873.54
Calaveras,2015,45668,81676412,74242525,7433887,1788.48,1625.7
Calaveras,2016,45207,86883793,79017852,7865941,1921.91,1747.91
Calaveras,2017,45168,103847016,103545726,301290,2299.13,2292.46
Calaveras,2018,45157,111775477,101249425,10526052,2475.26,2242.16
Calaveras,2019,45117,105939142,138199329,-32260187,2348.1,3063.13
Calaveras,2020,45023,115552446,119563520,-4011074,2566.52,2655.61
Calaveras,2021,45250,128028489,125096675,2931814,2829.36,2764.57
Calaveras,2022,45049,137763923,140217306,-2453383,3058.09,3112.55
Calaveras,2023,44890,152135743,151427715,708028,3389.08,3373.31
Calaveras,2024,44842,187146424,163584784,23561640,4173.46,3648.03
Colusa,2003,19700,35964767,34470394,1494373,1825.62,1749.77
Colusa,2004,20105,34509274,33016376,1492898,1716.45,1642.2
Colusa,2005,20880,34920597,33230562,1690035,1672.44,1591.5
Colusa,2006,21512,39549674,37158716,2390958,1838.49,1727.35
Colusa,2007,21951,41037799,41276436,-238637,1869.52,1880.39
Colusa,2008,21910,51543714,48570645,2973069,2352.52,2216.83
Colusa,2009,21997,45395410,45788350,-392940,2063.71,2081.57
Colusa,2010,22206,51041062,46636818,4404244,2298.53,2100.19
Colusa,2011,21593,47582983,46753162,829821,2203.63,2165.2
Colusa,2012,21690,53067227,47080206,5987021,2446.62,2170.6
Colusa,2013,21674,57956739,53867054,4089685,2674.02,2485.33
Colusa,2014,21660,56276403,56162747,113656,2598.17,2592.92
Colusa,2015,21715,55828686,52097886,3730800,2570.97,2399.17
Colusa,2016,21948,55837373,56754215,-916842,2544.08,2585.85
Colusa,2017,22043,56417543,57662770,-1245227,2559.43,2615.92
Colusa,2018,22098,61167967,61793173,-625206,2768.03,2796.32
Colusa,2019,22117,66171628,62770657,3400971,2991.89,2838.12
Colusa,2020,21902,69785072,62213999,7571073,3186.24,2840.56
Colusa,2021,21773,77625660,71086236,6539424,3565.23,3264.88
Colusa,2022,21807,77789396,71191536,6597860,3567.18,3264.62
Colusa,2023,21771,82998701,84363269,-1364568,3812.35,3875.03
Colusa,2024,21743,92900505,92032288,868217,4272.66,4232.73
Contra Costa,2003,994908,1851194815,1479194711,372000104,1860.67,1486.77
Contra Costa,2004,1003909,1550299661,1541478814,8820847,1544.26,1535.48
Contra Costa,2005,1020898,1652419430,1595294731,57124699,1618.59,1562.64
Contra Costa,2006,1029377,1734769236,1650775320,83993916,1685.26,1603.66
Contra Costa,2007,1042341,1862349991,1795654114,66695877,1786.7,1722.71
Contra Costa,2008,1051674,1926983901,1887446238,39537663,1832.3,1794.71
Contra Costa,2009,1060435,1890114964,1865767496,24347468,1782.4,1759.44
Contra Costa,2010,1073055,1921410709,1805784477,115626232,1790.6,1682.84
Contra Costa,2011,1056064,2051483168,1937982203,113500965,1942.57,1835.1
Contra Costa,2012,1065117,2068070533,2016639285,51431248,1941.64,1893.35
Contra Costa,2013,1074702,2221080341,2159734994,61345347,2066.69,2009.61
Contra Costa,2014,1087008,2333410531,2260176890,73233641,2146.64,2079.26
Contra Costa,2015,1102871,2711238104,2598449579,112788525,2458.35,2356.08
Contra Costa,2016,1123429,2793581608,2670142484,123439124,2486.66,2376.78
Contra Costa,2017,1139513,3072465406,2942527728,129937678,2696.3,2582.27
Contra Costa,2018,1149363,3228395078,3086181054,142214024,2808.86,2685.12
Contra Costa,2019,1155879,3693227329,3542107990,151119339,3195.17,3064.43
Contra Costa,2020,1153561,3809810219,3686425494,123384725,3302.65,3195.69
Contra Costa,2021,1161324,4297335547,4119717910,177617637,3700.38,3547.43
Contra Costa,2022,1156555,4491758166,4285458019,206300147,3883.74,3705.36
Contra Costa,2023,1147653,5072834570,4694189046,378645524,4420.18,4090.25
Contra Costa,2024,1146626,5970212101,5549211078,421001023,5206.76,4839.6
Del Norte,2003,27848,45211030,44008716,1202314,1623.49,1580.32
Del Norte,2004,28266,43902351,43997601,-95250,1553.19,1556.56
Del Norte,2005,28895,50493384,48185949,2307435,1747.48,1667.62
Del Norte,2006,29196,53194593,53060246,134347,1821.98,1817.38
Del Norte,2007,29341,54945082,55102516,-157434,1872.64,1878.0
Del Norte,2008,29419,56136033,56265599,-129566,1908.16,1912.56
Del Norte,2009,29547,58446845,60008250,-1561405,1978.1,2030.94
Del Norte,2010,29673,54213743,55408451,-1194708,1827.04,1867.3
Del Norte,2011,28594,58053949,53736105,4317844,2030.28,1879.28
Del Norte,2012,28429,68063313,63595956,4467357,2394.15,2237.01
Del Norte,2013,28380,72932282,66313113,6619169,2569.85,2336.61
Del Norte,2014,28131,68122777,62894734,5228043,2421.63,2235.78
Del Norte,2015,28031,68798879,69830915,-1032036,2454.39,2491.2
Del Norte,2016,26811,71405306,70442451,962855,2663.28,2627.37
Del Norte,2017,27124,68538964,71648370,-3109406,2526.88,2641.51
Del Norte,2018,27221,79118088,74253520,4864568,2906.51,2727.8
Del Norte,2019,27401,78237636,77396633,841003,2855.28,2824.59
Del Norte,2020,27298,81621241,80567910,1053331,2990.01,2951.42
Del Norte,2021,27593,95118589,87579546,7539043,3447.2,3173.98
Del Norte,2022,27218,92022093,86095314,5926779,3380.93,3163.18
Del Norte,2023,26599,89753446,90496756,-743310,3374.32,3402.26
Del Norte,2024,26345,115988068,98317911,17670157,4402.66,3731.94
El Dorado,2003,166030,194572716,193653341,919375,1171.91,1166.38
El Dorado,2004,168117,205990482,201469618,4520864,1225.28,1198.39
El Dorado,2005,173407,241378174,219012662,22365512,1391.97,1263.0
El Dorado,2006,176204,258946904,250534550,8412354,1469.59,1421.84
El Dorado,2007,178674,294389906,274209038,20180868,1647.64,1534.69
El Dorado,2008,179722,276044536,300573204,-24528668,1535.95,1672.43
El Dorado,2009,180185,263433655,285550953,-22117298,1462.02,1584.77
El Dorado,2010,182019,267749585,268680830,-931245,1471.0,1476.11
El Dorado,2011,182498,270739898,267356271,3383627,1483.52,1464.98
El Dorado,2012,180712,271854189,260871342,10982847,1504.35,1443.58
El Dorado,2013,182286,284773753,270617935,14155818,1562.24,1484.58
El Dorado,2014,182404,293637831,276833206,16804625,1609.82,1517.69
El Dorado,2015,184917,291471085,304980251,-13509166,1576.23,1649.28
El Dorado,2016,183750,310061101,312825778,-2764677,1687.41,1702.45
El Dorado,2017,185062,320597586,312951842,7645744,1732.38,1691.06
El Dorado,2018,188399,333516608,337411051,-3894443,1770.27,1790.94
El Dorado,2019,191848,447199542,453471879,-6272337,2331.01,2363.7
El Dorado,2020,193227,462093559,452579084,9514475,2391.45,2342.21
El Dorado,2021,191054,510698648,447024720,63673928,2673.06,2339.78
El Dorado,2022,190465,485758432,451126569,34631863,2550.38,2368.55
El Dorado,2023,189006,572751478,560707185,12044293,3030.33,2966.61
El Dorado,2024,188583,629861635,586097683,43763952,3339.97,3107.9
Fresno,2003,841423,1102218078,1017200556,85017522,1309.95,1208.91
Fresno,2004,862642,1384309806,1009460514,374849292,1604.73,1170.2
Fresno,2005,883537,1039583424,1047151171,-7567747,1176.62,1185.18
Fresno,2006,899514,1164590520,1144675056,19915464,1294.69,1272.55
Fresno,2007,917515,1155188903,1166395630,-11206727,1259.04,1271.26
Fresno,2008,931098,1274358715,1270148662,4210053,1368.66,1364.14
Fresno,2009,942298,1230739830,1272148945,-41409115,1306.1,1350.05
Fresno,2010,953761,1191819738,1195960511,-4140773,1249.6,1253.94
Fresno,2011,940220,1227947061,1221747562,6199499,1306.02,1299.43
Fresno,2012,945711,1203004648,1174535564,28469084,1272.06,1241.96
Fresno,2013,952166,1268655618,1224642063,44013555,1332.39,1286.16
Fresno,2014,964040,1318767726,1243526163,75241563,1367.96,1289.91
Fresno,2015,972297,1376617063,1310995778,65621285,1415.84,1348.35
Fresno,2016,984541,1488440576,1385152576,103288000,1511.81,1406.9
Fresno,2017,995975,1683934000,1649858000,34076000,1690.74,1656.53
Fresno,2018,1007229,1770913000,1783079000,-12166000,1758.2,1770.28
Fresno,2019,1018241,1936296000,1878051000,58245000,1901.61,1844.41
Fresno,2020,1023358,2053548000,2027046000,26502000,2006.68,1980.78
Fresno,2021,1009231,2321372157,2228506619,92865538,2300.14,2208.12
Fresno,2022,1011273,2322654843,2380000092,-57345249,2296.76,2353.47
Fresno,2023,1011499,2551671102,2456227607,95443495,2522.66,2428.3
Fresno,2024,1017431,2739998180,2636081403,103916777,2693.06,2590.92
Glenn,2003,27071,58246138,59612814,-1366676,2151.61,2202.09
Glenn,2004,27756,54488446,55442304,-953858,1963.12,1997.49
Glenn,2005,28197,58140597,56481013,1659584,2061.94,2003.09
Glenn,2006,28651,63409592,63129442,280150,2213.17,2203.39
Glenn,2007,28915,63608575,64072512,-463937,2199.85,2215.89
Glenn,2008,29195,67161299,70367378,-3206079,2300.44,2410.25
Glenn,2009,29239,66642625,70075785,-3433160,2279.24,2396.65
Glenn,2010,29434,64516031,68744257,-4228226,2191.89,2335.54
Glenn,2011,28273,62864289,66014786,-3150497,2223.47,2334.91
Glenn,2012,28122,68505603,65960412,2545191,2436.01,2345.51
Glenn,2013,28349,68574194,68064510,509684,2418.93,2400.95
Glenn,2014,28353,67887528,64345624,3541904,2394.37,2269.45
Glenn,2015,28728,61548445,60659342,889103,2142.45,2111.51
Glenn,2016,28668,63101355,62882626,218729,2201.11,2193.48
Glenn,2017,28731,74713016,72240174,2472842,2600.43,2514.36
Glenn,2018,28796,84691057,79330565,5360492,2941.07,2754.92
Glenn,2019,29132,91677332,93915379,-2238047,3146.96,3223.79
Glenn,2020,29400,100986885,101525295,-538410,3434.93,3453.24
Glenn,2021,28788,112784295,102989903,9794392,3917.75,3577.53
Glenn,2022,28750,116343605,122682064,-6338459,4046.73,4267.2
Glenn,2023,28636,135927039,136543233,-616194,4746.72,4768.24
Glenn,2024,28736,144447979,146179910,-1731931,5026.73,5087.0
Humboldt,2003,128347,177782923,184457563,-6674640,1385.17,1437.18
Humboldt,2004,129964,186204666,188597609,-2392943,1432.74,1451.15
Humboldt,2005,131334,194127557,183340775,10786782,1478.12,1395.99
Humboldt,2006,132526,204686657,203505136,1181521,1544.5,1535.59
Humboldt,2007,131959,223409244,214270378,9138866,1693.02,1623.76
Humboldt,2008,132821,236017089,226215726,9801363,1776.96,1703.16
Humboldt,2009,132755,228673285,242677262,-14003977,1722.52,1828.01
Humboldt,2010,133400,238661827,233685993,4975834,1789.07,1751.77
Humboldt,2011,135263,244274587,232619292,11655295,1805.92,1719.76
Humboldt,2012,134587,242001920,239716576,2285344,1798.11,1781.13
Humboldt,2013,135209,237749673,239056571,-1306898,1758.39,1768.05
Humboldt,2014,134648,255394014,258159217,-2765203,1896.75,1917.29
